# frame<TAB>description  — loaded into recording.sqlite via tools/dom-trace/load_bookmarks.py
0	Homepage (difficulty-select landing)
16	Beginner WIN @39 (Standard, flagged 10/10)
42	Beginner LOSE @77 (Standard, no flags)
79	Beginner WIN @117 (Standard, flagged)
119	Beginner WIN @147 (Standard, flagged)
149	Beginner LOSE @153 (Standard, no flags)
155	Custom 9x9/12-mine LOSE @180 (Standard; chord -> 3 detonated, t12x3 @180-184)
185	Settings page (middle-click-reset option on screen)
188	Beginner abandoned (Standard, 0 clicks)
193	Intermediate LOSE @286 (Standard; single detonation t12x1)
288	Intermediate WIN @424 (Standard, fully flagged 40/40)
426	Intermediate WIN @574 (Standard, fully flagged)
576	Intermediate LOSE @586 (Standard, no flags)
588	Intermediate LOSE @600 (Standard, no flags)
602	Expert LOSE @626 (Standard; last Standard game)
629	Custom 30x30/150-mine abandoned (No-guessing begins here)
633	Custom 5x5/5-mine WIN (No-guessing; fully cleared)
658	Beginner LOSE @666 (No-guessing, no flags)
668	Beginner WIN @701 (No-guessing, flagged)
703	Beginner WIN @750 (No-guessing, flagged)
752	Beginner abandoned (No-guessing)
754	Intermediate LOSE @788 (No-guessing)
791	Expert/Custom600/5x5 abandoned (No-guessing; rapid cycling; end of play)
798	Browse: PvP (/pvp)
802	Browse: Ranking (/ranking)
810	Browse: My games (/my-games)
813	Browse: Best players (/best-players)
817	Browse: Season leaders (/season-leaders)
821	Browse: Quests (/quests)
823	Browse: Arena (/arena)
825	Browse: Equipment (/equipment)
831	Browse: Marketplace (/marketplace)
834	Browse: Events (/events)
838	Browse: Championship (/championship)
841	Browse: Players online (/players-online)
844	Browse: News (/news)
847	Browse: Statistics (/statistics)
853	Browse: My profile (/player/54418982)
855	Browse: Chat (/chat)
856	Help: Gameplay (/help/gameplay)
858	Help: Patterns (/help/patterns)
860	Help: Efficiency (/help/efficiency)
862	Help: Trophies (/help/trophies)
865	Help: Arena (/help/arena)
867	Help: Gems (/help/gems)
869	Help: Equipment (/help/equipment)
871	Help: Events (/help/events)
873	Help: Quests (/help/quests)
875	Help: Achievements (/help/achievements)
878	Help: Ranks (/help/ranks)
881	Help: Guides (/help/guides)
884	Help: Website rules (/help/website-rules)
886	Premium (/premium)
888	Shop (/shop; end of recording)
